"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-09-24",60171800,2642200,8766100,30680000,15394200,26582700,1364500,17656100,3478100,49014100
"2014-09-25",100092000,2928800,7517900,37533000,15514500,33077400,1405700,21071500,2456000,35916500
"2014-09-26",62370500,3638000,7569200,28872000,9795500,27078800,1486400,14125300,1841300,62189200
"2014-09-29",49766300,1924600,6996300,34031000,12775500,26091000,1359500,15404300,3003800,35883300
"2014-09-30",55264100,2636200,77254500,35899000,10123700,33033100,1781800,12315700,3420400,30386500
"2014-10-01",51491300,3089100,24292300,55090000,9813900,38088400,2202300,24733500,2748500,35172900
"2014-10-02",47757800,3553900,12521600,36488000,22290300,25119400,2635800,27056500,2957600,24584400
"2014-10-03",43469600,3037400,9569500,23340000,7848200,32453200,2184300,31227200,2613300,38191700
"2014-10-06",37051200,2290300,9324900,25729000,5997500,20604000,1958500,20033400,1944200,23576100
"2014-10-07",42094200,2365400,9623600,25317000,7939600,25723700,1965600,26082300,2131900,22538300
"2014-10-08",57404700,3452800,15358100,32976000,6591700,33031000,2047500,31098500,2747900,26593500
"2014-10-09",77376500,3587900,8951000,32487000,7678400,34422800,2132600,29741400,4304900,33519600
"2014-10-10",66331600,3681900,9128700,52146000,18093500,51978100,2730100,46727300,3961400,36771500
"2014-10-13",53583400,4363900,9653900,43938000,11603200,37100200,2888100,35326800,4224100,38841900
"2014-10-14",63688600,3385800,12413200,50299000,20641800,38115700,2392500,29723600,3928500,38509000
"2014-10-15",100933600,5343900,16801900,61528000,16616000,60218700,8561100,34371500,4252600,41973500
"2014-10-16",72154500,4731300,38140800,53529000,9046600,49040400,13186400,30818800,2953100,26998500
"2014-10-17",68179700,4405100,13942300,76342000,7625300,40683300,11308700,24630600,2199500,24107000
"2014-10-20",77517300,3234500,12497400,34701000,8497200,34527900,4789900,17781100,2473800,17802400
"2014-10-21",94623900,3559300,13959700,32252000,7573000,36433800,2766500,21351000,3085900,41955200
"2014-10-22",68263100,3125900,13560000,41808900,10077100,33570900,4592900,26109900,8358100,69348900
"2014-10-23",71074700,9038200,10796700,35056000,11088100,45451900,2845200,23099800,27129400,30653400
"2014-10-24",47053900,19801100,6387300,32248000,11116800,61076700,2093900,12035200,7388300,33805800
"2014-10-27",34187700,5950600,6959000,30169000,10251400,30371300,2134900,51896300,4968600,36596500
"2014-10-28",47939900,5572600,8105500,71343100,15081300,29024600,1676700,83179400,3401600,36834900
"2014-10-29",52687900,4881900,7322900,106120000,23923500,30276100,1786800,40261900,4084000,25389100
"2014-10-30",40654800,4048200,6923200,83270000,31573400,30073900,1512800,42012600,3269300,16205500
"2014-10-31",44639300,4550700,8298300,44544000,88355100,35849700,2924300,23895100,4378500,18446800
"2014-11-03",52282600,3242500,6985900,40727000,31069200,23130400,2511600,31441900,6988900,17181500
"2014-11-04",41574400,3427400,7727900,39326000,42318800,21530800,1627100,19544300,2515800,25051500
"2014-11-05",37435900,4674500,10761800,35913000,21726100,22449600,1949400,19742200,3177800,33021500
"2014-11-06",34968500,3758100,5893400,21383000,18863600,33037800,1427400,16292100,2123900,22636000
"2014-11-07",33691500,2647400,5415100,20774000,12466500,28000600,1329100,18558900,1556900,24166700
"2014-11-10",27195500,2804400,5264800,21575100,12021400,36370100,1386900,19069300,1215200,24671400
"2014-11-11",27442300,3803600,7094800,18715700,18486200,23445200,2119800,19176600,3409200,31575300
"2014-11-12",46942400,2181700,6058900,26513400,45623700,22722000,1565100,51607400,3526200,30514800
"2014-11-13",59522900,3685700,7812900,26432900,14434000,26208800,1498400,67226200,4310700,35513400
"2014-11-14",44063600,8876300,4971300,19456100,12981400,29081700,1568900,33035500,2453600,28813000
"2014-11-17",46746700,4784600,7775000,28686300,12756400,30315500,1317600,20646900,2036300,38382400
"2014-11-18",44224000,3549500,6966200,20690500,20415600,23995500,1131600,18588400,2451000,26833900
"2014-11-19",41869200,3280800,6721400,25417300,16292100,26176800,3499800,19013100,3063300,29239200
"2014-11-20",43395500,3435000,5554200,19135200,27626300,21500700,2202500,13701700,2618700,28902000
"2014-11-21",57179300,4466000,8439900,23055400,16653300,42883100,2553600,12056200,1922300,22225300
"2014-11-24",47450800,2753700,6067100,22088000,7968000,35434200,2551500,15154800,1449000,14631000
"2014-11-25",68840400,2561200,6635400,32225300,7017600,28007900,4013800,16139200,1359700,14206900
"2014-11-26",40768300,1983600,3989500,32695300,5453000,27163600,1437600,23773300,1212800,13428500
"2014-11-28",24814400,3051800,2969600,15992000,4996700,21534400,957500,11113900,1069100,8913700
"2014-12-01",83814000,4918100,6802300,31630800,20358200,31191600,1707000,21927600,2214900,23063400
"2014-12-02",59075100,2783500,5964300,16724600,16418300,25743000,2036700,16394300,1708300,16099900
"2014-12-03",43063400,5681000,5359800,15927400,14956700,23534800,1974200,13198100,1610700,14221200
"2014-12-04",42044500,3290300,5646600,14362800,8339800,30320400,1693400,13012200,1594400,12136700
"2014-12-05",38318900,3257700,5588500,24246600,8798600,27313400,1417700,12500500,2677800,14867700
"2014-12-08",57664900,3625800,13072400,25650500,17825900,26663100,1945900,30024300,2893100,18152400
